From	To
O43182-2	NM_006125.2
O43182-4	NM_013423.2
O54834-3	NM_178754.3
O54834-4	NM_001287530.1
Q96QB1-1	NM_006094.4
Q96QB1-4	NM_001164271.1
Q96QB1-4	NM_001348082.1
Q96QB1-4	NM_001348083.1
Q96QB1-4	NM_001348084.1
Q96QB1-5	NM_024767.3
Q96QB1-6	NM_001316668.1
P85298-4	NM_181335.2
P85298-5	NM_001198726.1
Q9BRR9-2	NM_032496.3
Q9BRR9-2	XM_011538656.2
Q9BRR9-3	NM_001319852.1
Q9BRR9-3	XM_005269083.2
Q9BRR9-4	NM_001080156.2
Q9BRR9-5	NM_001080157.1
Q9BRR9-5	XM_011538659.2
Q8IWW6-2	NM_001270696.1
Q8IWW6-3	NM_001270699.1
Q8IWW6-3	XM_005252644.1
Q8IWW6-4	NM_001270695.1
Q68EM7-2	NM_018054.5
Q3UIA2-2	NM_001122641.1
Q3UIA2-3	NM_001122642.1
Q3UIA2-4	NM_001122643.1
Q99N37-2	NM_022244.2
Q99N37-3	NM_001270694.1
Q99N37-4	NM_001270693.1
Q14CB8-3	NM_001256423.1
Q14CB8-6	NM_001204300.1
Q9P2F6-2	NM_001258416.1
Q9P2F6-3	NM_001258415.1
Q9P2F6-4	NM_001258417.1
Q9P2F6-4	NM_001258418.1
Q6REY9-2	NM_213629.1
Q7Z5H3-2	NM_001256024.1
Q7Z5H3-3	NM_001256026.1
Q7Z5H3-5	NM_001256025.2
Q7Z5H3-5	NM_001347738.1
Q8N264-2	NM_031305.2
Q8N264-3	NM_001042669.1
Q8N264-3	XM_011532300.2
Q8C4V1-3	NM_001286468.1
Q8C4V1-3	NM_146161.3
Q8C4V1-3	XM_006534891.3
Q8C4V1-3	XM_011249434.2
P42331-3	NM_014882.2
P42331-4	NM_001007231.2
P42331-5	NM_001166277.1
P42331-6	NM_001166276.1
Q8BYW1-2	NM_001286610.1
Q8BYW1-3	NM_175476.4
Q9UNA1-2	NM_001135608.1
Q6ZUM4-2	NM_199282.2
Q6ZUM4-4	NM_174919.3
A2AB59-2	NM_133715.5
Q8BN58-2	NM_001347410.1
Q5PQJ5-2	NM_001009405.1
Q7Z6I6-3	NM_001287600.1
Q7Z6I6-3	XM_005245073.3
Q7Z6I6-3	XM_011509391.2
A7KAX9-2	NM_014715.3
Q811P8-2	NM_177379.4
O14559-10	NM_001172630.1
O14559-11	NM_052948.3
Q6ZRI8-3	NM_001330651.1
Q6ZRI8-3	XM_011531280.1
Q6ZRI8-4	NM_001282607.1
B1AUC7-3	XM_006541554.3
B1AUC7-3	XM_006541555.2
B1AUC7-3	XM_017318633.1
Q9C0H5-2	NM_025251.2
Q9C0H5-2	XM_011517308.1
Q9C0H5-2	XM_017013870.1
P59281-2	NM_198420.2
Q17R89-3	NM_001321166.1
Q5SSM3-2	NM_175003.3
Q6P4F7-2	NM_199357.2
Q6P4F7-3	NM_001286479.2
Q6P4F7-3	NM_001286480.2
X2JDY8-2	NM_132842.3
X2JDY8-2	NM_206719.2
X2JDY8-2	NM_206720.2
X2JDY8-2	NM_206722.2
P10754-2	NM_011747.2
O81242-2	NM_001123977.1
Q9BSD3-2	NM_001252500.2
Q94K75-2	NM_001083997.1
Q8N443-2	NM_144968.3
Q8N443-3	NM_001267053.3
Q4ADV7-2	NM_001135920.2
Q4ADV7-3	NM_001206557.1
Q7Z5B4-3	NM_001135109.3
Q7Z5B4-5	NM_024557.5
Q7Z5B4-5	XM_006718318.3
Q7Z5B4-6	NM_001206672.3
Q8BPM6-2	XM_006507942.2
Q8BPM6-2	XM_006507943.3
Q8BPM6-3	NM_178780.3
Q9NPQ8-3	NM_021932.5
Q9NVN3-1	NM_001330147.1
Q80XE1-1	NM_183172.2
Q6R327-3	NM_001285439.1
Q5UIP0-2	NM_001177663.1
Q5UIP0-2	NM_001177664.1
Q5UIP0-2	NM_001177665.1
Q6PR54-2	XM_011239136.1
Q6PR54-3	NM_175238.5
O95153-2	NM_024418.2
Q7TNF8-2	XM_006532710.3
Q86UR5-9	NM_001168410.1
Q86UR5-10	NM_001168409.1
Q86UR5-11	NM_001168411.1
Q86UR5-12	NM_001168407.1
Q86UR5-13	NM_001168408.1
Q9UQ26-1	NM_001282881.1
Q9UQ26-3	NM_014677.4
Q9UQ26-7	NM_001282882.1
Q9UQ26-8	NM_001100117.2
Q9EQZ7-2	NM_001256384.1
Q9JIS1-10	NM_145881.2
Q9H426-2	NM_001205317.1
Q22366-2	NM_001029730.3
Q8WYP3-2	NM_001242581.1
Q8WYP3-2	XM_017027887.1
Q8WYP3-2	XM_017027888.1
H2KYH3-2	NM_001029734.1
Q6ZS11-2	NM_198445.3
Q8BZ36-2	NM_001310467.1
Q9BVS4-2	NM_001159749.1
Q8IUF8-4	NM_001261829.1
Q8IUF8-4	NM_032778.5
Q5EBL4-3	NM_001319244.1
Q5EBL4-3	NM_001319302.1
Q0D2K3-2	NM_001171706.1
Q6ZS17-2	NM_024519.3
Q6ZS17-3	NM_001193524.1
Q6ZS17-4	NM_001193523.1
Q9Y4F9-2	NM_015864.3
Q80U16-2	NM_001080381.1
Q80U16-5	NM_178658.5
Q80U16-7	NM_001286101.1
Q86UA6-2	NM_001160244.1
Q86UA6-6	NM_001160246.1
Q86UA6-8	NM_001160243.1
Q86UA6-9	NM_001160266.1
Q7LG56-2	NM_001172478.1
Q7LG56-6	NM_001172477.1
P31350-2	NM_001165931.1
Q92963-2	NM_001256820.1
Q92963-3	NM_001256821.1
Q99578-2	NM_001272077.1
Q96K30-3	NM_001286215.1
Q9FXF2-2	NM_180624.6
P42794-2	NM_180806.1
P62913-2	NM_001199802.1
P26373-2	NM_001243131.1
P61313-2	NM_001253384.1
P18621-2	NM_001199345.1
Q07020-2	NM_001270490.1
Q9D7S7-2	NM_001347226.1
P46779-2	NM_001136134.1
P46779-3	NM_001136135.1
P46779-4	NM_001136137.1
P46779-5	NM_001136136.1
P62899-2	NM_001098577.2
P62899-3	NM_001099693.1
P04359-2	NM_170460.2
Q9M352-2	NM_115234.2
E9PWZ3-2	NM_025425.4
O16797-5	NM_169380.2
O16797-2	NM_169377.2
V5IMN1-2	XM_011396246.1
P05386-2	NM_213725.1
Q86X10-3	NM_001282918.1
F4I2N7-2	NM_180611.2
Q9FT77-2	NM_117803.4
Q9FT77-3	NM_179069.2
Q9LNV9-2	NM_001160845.2
F4J9A8-2	NM_001339603.1
F4J9A8-2	NM_115184.5
Q9SVN2-2	NM_001203793.2
Q9S9U3-2	NM_001343991.1
Q9BYD3-2	NM_146388.1
Q2TBK2-2	NM_001035029.2
Q7Z7H8-2	NM_148887.2
Q9Y3B7-2	NM_170738.3
Q9Y3B7-3	NM_170739.3
Q9CPR5-2	NM_025300.4
Q7Z2W9-2	NM_181515.1
Q9D1N9-2	NM_172252.3
Q9NWU5-3	NM_001014990.2
O75394-2	NM_145330.2
Q9NZE8-2	NM_145644.2
Q9NYK5-2	NM_080794.3
Q9NYK5-2	XM_006724026.3
Q8N983-2	NM_176793.1
Q8N983-3	NM_001308396.1
Q8N983-4	NM_032112.2
Q8N983-4	XM_005270231.2
Q8N983-6	NM_176794.1
Q9HD33-3	NM_177988.1
Q96GC5-3	NM_001318498.1
Q86TS9-2	NM_181304.2
Q86TS9-2	NM_181305.2
Q86TS9-2	NM_181306.2
Q86TS9-3	NM_180982.2
Q86TS9-4	NM_181307.2
Q7Z7F7-2	NM_181462.2
Q9CZ83-2	NM_001302334.1
Q9CZ83-2	NM_001302335.1
Q9CZ83-2	XM_006533975.3
Q9CZ83-2	XM_006533976.3
P34560-2	NM_001268101.1
Q96DB5-2	NM_001286719.1
Q96DB5-3	NM_001286707.1
Q2TBQ7-2	NM_001040508.1
Q96LZ7-4	NM_001170793.2
Q96TC7-2	NM_001323895.1
Q96G75-2	XM_005265972.3
Q96G75-2	XM_017009728.1
O94763-4	NM_001252641.1
Q9FFA5-2	NM_203095.2
Q6ZNA4-2	NM_017610.7
Q6ZNA4-3	NM_001330331.1
Q6ZNA4-4	NM_001270528.1
Q96DY5-2	NM_001291024.1
Q96DY5-2	XM_006533183.2
Q96DY5-3	XM_006533178.2
Q8R1Z9-3	XM_006508275.3
Q5XPI3-2	NM_001311152.1
Q5XPI3-2	XM_006511878.2
Q5XPI3-2	XM_006511879.3
Q9D9R0-2	NM_026301.2
Q8TEB7-2	NM_024539.3
Q14B02-2	NM_198251.2
Q8IUD6-2	NM_197939.1
Q8IUD6-3	NM_001184992.1
Q8WVD3-2	NM_198128.2
Q8WVD3-2	XM_005258286.1
Q9CQE0-2	NM_019706.3
Q96MT1-2	NM_144726.2
Q96MT1-3	NM_001199381.1
Q96MT1-4	NM_001199382.1
Q96MT1-5	NM_001199380.1
Q9NTX7-2	NM_001242844.1
Q9NTX7-2	NM_001242845.1
Q9NTX7-2	NM_001242846.1
Q9NTX7-2	NM_001242847.1
Q9NTX7-2	NM_001242848.1
Q9NTX7-2	NM_001242852.1
Q9NTX7-2	NM_030963.3
Q9NTX7-2	XM_011536161.2
Q9NTX7-2	XM_011536163.2
Q9NTX7-2	XM_011536164.2
Q9ULK6-4	XM_011532148.2
Q96PX1-2	NM_001330501.1
Q96A37-2	NM_001171816.1
Q96A37-3	NM_001171815.1
Q9H6Y7-2	NM_001320362.1
Q9H6Y7-2	NM_001320363.1
Q9H6Y7-2	NM_001320364.1
Q9H6Y7-2	NM_001320365.1
Q96K19-3	NM_001160224.1
Q96K19-6	NM_001160225.1
Q86T96-2	NM_178532.4
Q86T96-3	NM_001323291.1
Q3U827-2	XM_017315607.1
Q3U827-3	NM_027934.2
Q9CY62-2	NM_001331167.1
Q9CY62-2	NM_001331169.1
Q9CY62-3	NM_001331168.1
Q96GF1-2	NM_001135825.1
Q91YT2-2	NM_145355.5
Q6ZMZ0-2	NM_001127361.2
Q6ZMZ0-4	NM_001300826.1
Q495C1-5	NM_194439.4
Q495C1-6	NM_001193318.2
Q63HN8-5	NM_020954.3
Q8ND24-2	NM_001278249.1
Q8BFU3-2	NM_001310840.1
Q8BFU3-2	XM_011242503.2
Q8BFU3-5	NM_001310839.1
Q9NWF9-1	NM_207111.3
Q9NWF9-1	XM_005249785.2
P58283-2	NM_207110.1
P58283-2	XM_006504644.3
P58283-2	XM_017320591.1
Q8TC41-2	NM_152553.4
Q5VTB9-3	NM_001319957.1
Q6PDX6-2	NM_001310730.1
Q6PDX6-4	NM_001310731.1
Q6PDX6-4	XM_011240589.2
Q6PDX6-4	XM_017320357.1
P60153-2	NM_001110358.1
P60153-2	NM_001110359.1
P60153-2	NM_001110360.1
P60153-2	NM_001110361.1
Q86VV4-3	NM_001161429.2
O01326-2	NM_001128988.2
Q9NRR4-4	NM_001100412.1
F4IV66-2	NM_180656.2
F4IV66-3	NM_001335224.1
F4IV66-3	NM_180657.2
F4IV66-4	NM_001335223.1
F4IV66-4	NM_001335226.1
F4IV66-4	NM_126460.4
F4IV66-5	NM_180658.2
Q8N5U6-2	NM_001330474.1
O54965-2	NM_011883.4
Q9UBS8-2	NM_183398.2
Q99MV7-3	XM_006519112.1
Q9Y225-2	NM_001134338.2
Q9Y225-2	XM_017027620.1
Q9Y225-2	XM_017027621.1
Q96EP0-3	NM_001310332.1
Q9H0A6-4	NM_001308274.1
Q9H0A6-4	XM_017011755.1
Q969K3-2	NM_194271.2
O94941-2	NM_199415.2
Q9H0F5-2	NM_194329.2
Q9H0F5-3	NM_194328.2
Q9H0F5-3	NM_194330.2
Q9H0F5-3	NM_194332.2
Q9H0F5-3	XM_005251366.3
Q9H0F5-3	XM_005251367.3
Q9H0F5-3	XM_006716721.3
Q9H0F5-3	XM_011517712.2
Q9H0F5-3	XM_011517713.2
Q9H4P4-2	NM_194358.2
Q68DV7-3	NM_001305545.1
Q68DV7-4	XM_017024800.1
Q7L0R7-2	XM_005265843.2
Q7L0R7-2	XM_005265844.3
Q3UHJ8-2	NM_134064.2
Q3UHJ8-2	XM_011244451.1
Q3UHJ8-3	NM_001146027.1
Q3UHJ8-3	XM_011244449.1
Q3UHJ8-3	XM_011244450.1
Q3UHJ8-3	XM_017315336.1
P78317-2	NM_001185010.2
Q9Y252-3	NM_183045.1
Q9Y252-3	XM_011535178.1
O76064-3	NM_183078.2
Q96EX2-5	NM_032814.3
Q3UF64-2	NM_172998.3
Q3UF64-2	XM_006530344.1
Q3UF64-2	XM_006530345.2
Q3UF64-2	XM_006530346.3
Q3UF64-2	XM_006530347.2
Q3UF64-2	XM_006530348.2
Q5TBB1-2	NM_001142279.2
Q5VYX0-2	NM_018363.3
Q5VYX0-2	XM_011539924.2
Q5VYX0-2	XM_017016380.1
Q3UZ01-2	NM_001287015.1
Q15287-2	NM_001286626.1
Q99M28-2	NM_001080128.1
O44476-2	NM_001027939.2
Q9BQ52-4	NM_001165962.1
Q9VI93-2	NM_206456.2
P10155-3	NM_001173525.1
P10155-4	NM_001042370.2
P10155-5	NM_001042369.2
Q22037-4	NM_001047480.3
P07909-2	NM_170370.2
P07909-3	NM_170371.2
P07909-4	NM_170373.2
P07909-4	NM_170374.2
P09651-2	NM_002136.3
P22626-2	NM_002137.3
P22626-2	XM_017012109.1
P22626-2	XM_017012110.1
O88569-2	NM_016806.3
O88569-3	NM_182650.4
Q8BG05-2	NM_053263.1
Q6URK4-2	NM_001111295.1
Q6URK4-2	XM_008761911.2
Q6URK4-2	XM_008761912.2
Q99729-2	NM_031266.2
Q99729-3	NM_004499.3
Q9Y6N7-3	XM_006713277.2
Q9Y6N7-4	XM_017006983.1
Q9Y6N7-5	NM_133631.3
Q9Y6N7-6	NM_001145845.1
Q9HCK4-3	NM_001128929.3
Q8C310-2	NM_028783.3
Q8LES0-2	NM_203266.2
P70335-2	XM_006525725.1
Q9VVE2-2	NM_168717.2
Q04912-2	NM_001244937.2
Q9BZX4-2	XM_005247138.3
Q01973-3	NM_001083592.1
P35398-1	NM_134260.2
P51448-2	NM_001289916.1
Q8R1B8-1	NM_001043354.2
P51449-2	NM_001001523.1
Q63132-2	XM_008772862.2
Q9Y2J0-2	NM_014954.3
A9LLI8-2	NM_179858.5
Q9H9Y6-2	NM_001137604.2
Q9H9Y6-3	NM_001282772.1
Q9H9Y6-4	NM_001282776.1
Q9H9Y6-5	NM_001282774.1
O15446-2	NM_001297590.1
Q8K202-2	NM_022811.3
P52434-2	NM_001278714.1
P52434-2	XM_017006636.1
P52434-3	NM_001278699.2
P52434-3	NM_001278700.1
P52434-4	NM_001278698.1
P52434-4	XM_006713666.2
P52434-4	XM_006713667.2
P52434-5	NM_001278715.1
O15160-2	NM_001318876.1
F4K1B1-2	NM_122558.4
Q8VC34-2	NM_001289570.1
Q8VC34-3	NM_001163461.2
Q8VC34-4	NM_001163462.2
Q8VC34-5	NM_001289569.1
Q8VC34-5	XM_006534900.3
Q9H6T3-2	NM_001146075.1
Q9H6T3-3	NM_001146076.1
Q9NW08-2	NM_001160708.1
Q9NVU0-2	NM_001258036.1
Q9NVU0-4	NM_001258033.1
Q9NVU0-5	NM_001258034.1
Q9CZT4-2	NM_001164096.1
Q9Y535-2	NM_001018052.3
O75575-2	NM_001040647.1
O75575-3	NM_001142414.1
O75575-4	NM_001040648.1
Q9LV32-2	NM_112691.4
Q96AT9-3	NM_001278282.1
Q96AT9-3	NM_001278283.1
Q96AT9-3	NM_006916.2
Q96AT9-4	NM_001278285.1
Q96AT9-5	NM_001278286.1
Q96AT9-5	NM_001278288.1
Q96AT9-5	NM_001318930.1
Q96AT9-5	NM_001318931.1
Q96AT9-5	XM_006712677.3
Q13905-3	NM_198679.1
Q13905-4	NM_001304275.1
Q8VCC8-2	NM_001177810.1
Q8WZA2-3	NM_001100397.1
Q8WZA2-4	NM_001282899.1
Q8WZA2-5	NM_001282900.1
Q8WZA2-5	XM_006712205.3
Q9EQZ6-3	NM_019688.2
Q8TEU7-2	NM_001164389.1
Q8TEU7-3	NM_001164387.1
Q8TEU7-4	NM_001164386.1
Q8TEU7-5	NM_001164388.1
Q8TEU7-6	NM_001164390.1
Q9UHV5-3	NM_001303533.1
G5EDB9-2	NM_001028219.2
G5EDB9-3	NM_001268536.1
P47736-2	NM_001145657.1
P47736-4	NM_001145658.1
A2ALS5-2	NM_001081155.3
A2ALS5-3	NM_001331215.1
Q684P5-2	NM_001100398.1
Q684P5-3	NM_001330058.1
Q684P5-3	XM_011523741.2
Q9EPQ2-3	XM_006519696.3
Q92834-2	NM_000328.2
Q92834-6	NM_001034853.1
Q9R0X5-2	NM_011285.2
Q9UNE2-2	NM_001190412.1
Q9UNE2-2	NM_001190413.1
Q768S4-2	NM_001291159.1
Q768S4-2	XM_011249101.1
Q768S4-2	XM_011249102.1
Q69Z08-2	NM_001027227.3
P04844-2	NM_001135771.2
Q9H633-3	NM_001199121.1
Q9H633-4	NM_001199120.1
O49471-2	NM_118073.2
P78346-2	NM_001104546.1
O75818-2	NM_001286132.1
Q5BK64-2	NM_001013055.1
Q0P5J9-2	NM_001075156.1
Q96P16-3	NM_001303411.1
Q96P16-3	NM_001303412.1
Q9CSU0-2	NM_001291135.1
Q5VT52-3	NM_001297674.1
Q5VT52-5	NM_001297673.1
Q8N122-3	NM_001163034.1
Q9FT72-2	NM_179169.1
Q5VZM2-2	NM_006064.4
P62070-2	NM_001102669.2
P62070-2	NM_001177315.1
P62070-3	NM_001177314.1
Q9P2E9-3	NM_001042576.1
Q9P2E9-3	NM_004587.2
Q99PL5-3	NM_133626.2
Q20498-2	NM_001029513.2
Q92766-2	NM_001003699.3
Q92766-3	NM_001003700.1
Q3UH06-3	NM_001177869.1
Q3UH06-3	XM_006516749.1
Q3UH06-3	XM_006516751.2
Q3UH06-3	XM_006516752.2
Q3UH06-3	XM_006516753.3
Q3UH06-3	XM_006516754.3
Q3UH06-3	XM_006516756.2
Q3UH06-3	XM_006516757.3
Q3UH06-4	NM_001039188.1
Q3UH06-4	NM_001177868.1
Q3UH06-4	NM_026830.2
Q969S9-2	NM_170691.2
Q969S9-5	NM_170681.2
Q8R2Q4-2	NM_001271465.1
Q8R2Q4-3	NM_001271464.1
Q96E11-2	NM_199177.3
Q96E11-3	NM_001346343.1
Q96E11-8	NM_001173512.2
Q5JTH9-2	NM_001284337.1
Q5JTH9-3	NM_001145114.1
Q9Y2L1-2	NM_001128226.2
Q6E279-2	NM_001035886.3
P60866-2	NM_001146227.1
O76927-2	NM_078738.5
Q56JU9-2	NM_001025339.2
P62847-2	NM_033022.3
P62847-3	NM_001142283.1
P62847-4	NM_001142285.1
P62849-2	NM_011297.2
P62849-3	NM_207635.1
P62850-3	XM_006252531.3
P37165-2	NM_001027466.4
P62273-2	NM_001030001.2
Q9ZPX8-2	NM_201973.6
P55830-2	NM_166714.4
P23396-2	NM_001260506.1
P92965-2	NM_001084978.3
P92965-2	NM_001341747.1
Q5VWQ0-4	XM_017001518.1
Q6H500-2	XM_015767767.1
F4HTL8-3	NM_105413.4
F4JHA2-2	NM_116459.4
Q5TD94-3	NM_001161664.1
Q8CDR2-2	NM_001159671.1
P14678-2	NM_003091.3
Q09511-2	NM_062613.1
Q8WYR4-2	NM_001286506.1
Q86UC2-2	NM_001346418.1
Q9H1X1-2	NM_001193341.1
Q2MKA7-2	NM_001242909.1
Q2MKA7-3	NM_001242910.1
Q6UXX9-2	NM_001317942.1
Q6UXX9-3	NM_001282863.1
Q2I0M5-2	NM_001040007.2
Q96DX4-2	NM_001305182.1
Q96IZ7-2	NM_001271834.1
A6QLS2-2	NM_001102146.1
Q15404-2	NM_152724.2
O81127-2	NM_001198145.1
O81127-3	NM_001123870.4
Q9FYB7-2	NM_001339619.1
Q9FYB7-2	NM_180684.4
Q8VYA5-2	NM_001336655.1
Q8VYA5-2	NM_001336653.1
Q8VYA5-2	NM_201890.2
Q8VYA5-3	NM_001336654.1
Q8VYA5-3	NM_201891.2
Q58DQ5-2	NM_001035332.1
Q9VFB2-2	NM_169624.3
P82912-2	NM_001321970.1
P82912-3	NM_176805.3
Q9NVS2-2	XM_006715134.2
Q9NVS2-3	NM_001193343.1
Q92552-2	NM_001286748.1
P51398-2	NM_001199851.1
P51398-2	XM_017002292.1
P51398-3	NM_001199850.1
P82673-2	NM_001190864.1
Q8WWV3-2	NM_001318746.1
Q9BSG5-2	NM_031429.2
Q9VL14-2	NM_164903.2
Q9VL14-3	NM_164905.3
Q9VL14-4	NM_164904.2
O00442-2	NM_001130841.1
A4K436-3	NM_001097575.1
Q9NZ71-6	NM_001283009.1
Q9NZ71-7	NM_032957.4
Q9NZ71-9	NM_001283010.1
Q0VGM9-2	NM_001001882.3
Q0VGM9-3	NM_001166666.1
Q0VGM9-4	NM_001166668.1
Q0VGM9-5	NM_001166667.1
Q8IZC4-3	NM_001282941.1
Q9BST9-2	NM_033046.2
Q9BST9-2	XM_017004635.1
Q9BST9-3	NM_001015056.1
Q8C6B2-2	NM_009106.2
Q8C6B2-2	NM_133641.2
Q32KG4-2	NM_001040434.2
Q32KG4-2	XM_011247807.1
Q32KG4-2	XM_011247808.1
Q5MY90-2	XM_018232108.1
Q16799-3	NM_206852.2
Q64548-2	XM_008764690.2
O75298-2	NM_206900.2
O75298-3	NM_206901.2
O70622-2	NM_001025364.3
Q08D83-2	NM_182657.1
O95197-2	NM_201428.2
O95197-3	NM_006054.3
O95197-4	NM_201429.2
O95197-5	NM_201430.2
O95197-6	NM_001265591.1
O95197-7	NM_001265590.1
Q9ES97-2	NM_001003933.2
Q9ES97-3	NM_053076.3
Q9ES97-4	NM_001271487.1
Q9ES97-5	NM_001271486.1
Q6RJR6-2	NM_001009953.3
Q9NQC3-2	NM_153828.2
Q9NQC3-3	NM_007008.2
Q9NQC3-5	NM_207520.1
Q9NQC3-6	NM_001321859.1
Q9NQC3-6	NM_001321860.1
Q9NQC3-6	NM_001321861.1
Q9NQC3-6	NM_001321862.1
Q9NQC3-6	NM_001321863.1
Q9NQC3-6	NM_001321904.1
Q9NQC3-6	NM_207521.1
Q99P72-3	NM_194051.3
Q99P72-1	NM_024226.4
Q99P72-4	NM_194053.3
Q99P72-5	NM_194052.3
Q9JK11-2	XM_006251608.2
Q9JK11-3	XM_006251609.3
Q9JK11-4	XM_017599393.1
Q9SS37-2	NM_180221.3
Q6NPD8-2	NM_201738.1
A2RVT6-2	NM_001124096.2
Q8GYH6-2	NM_202547.4
Q6DR04-2	NM_201759.3
Q9VZ21-2	NM_001272514.2
Q42404-2	NM_180345.1
P08621-2	NM_001301069.1
Q8H1S6-3	NM_001084003.2
Q92622-2	NM_001145642.4
Q80U62-2	NM_172615.4
Q96T51-2	NM_001040451.2
Q96T51-2	NM_001040452.2
Q8WXA3-3	NM_017987.4
Q8WXA3-4	NM_001042417.1
Q8WXA3-5	NM_001278225.1
Q7L099-2	NM_001130709.1
Q7L099-3	NM_001037442.3
Q7L099-4	NM_001291993.1
Q9D394-3	NM_001289776.1
Q9D394-3	NM_001289777.1
Q9D394-4	NM_001289775.1
Q3TYX8-2	NM_001034060.3
Q9FJG9-2	NM_001085306.1
Q9FJG9-3	NM_203242.2
Q59EK9-2	NM_001144826.1
Q59EK9-3	NM_006695.4
O08576-2	XM_006533694.2
O08576-3	XM_006533693.2
O08576-4	NM_001252347.1
Q96NL0-4	NM_001134406.1
Q96NL0-5	NM_001134405.1
Q01196-3	NM_001122607.1
Q01196-8	NM_001754.4
Q01196-8	XM_011529766.2
Q01196-10	XM_005261068.3
Q6PF39-2	NM_001086497.1
Q13950-3	NM_001015051.3
Q08775-5	NM_001146038.2
Q08775-5	NM_001271627.1
Q08775-5	NM_009820.5
Q13761-2	NM_001031680.2
Q13761-2	NM_001320672.1
Q13761-2	XM_005246024.4
Q9SJX7-2	NM_001202720.1
Q84JB8-2	NM_001123808.2
Q9BVN2-2	NM_001278230.1
Q9BVN2-2	NM_014328.4
Q9BVN2-2	XM_006711257.1
Q9BVN2-3	NM_001105205.1
Q9BVN2-4	NM_001105204.1
Q8BG26-2	NM_001083808.1
Q8BG26-3	NM_028188.2
Q8IZ73-2	NM_001286407.1
Q6P087-5	NM_173659.3
Q6P087-6	NM_001142547.1
Q96CM3-2	NM_001144827.1
Q9Y265-2	NM_001319084.1
Q9Y230-2	NM_001321191.1
Q6R0G4-2	NM_001036746.2
C0SVG5-2	NM_116358.6
Q8H0W3-2	NM_180846.2
B3H5A8-2	NM_101691.9
Q8RWU3-2	NM_001035585.4
Q8RWU3-2	NM_001337831.1
Q0WW17-2	NM_001125120.1
Q0WW17-4	NM_001084647.5
Q66GQ5-2	NM_001036402.3
Q9FXG3-2	NM_102729.3
Q9FXG3-3	NM_001036034.2
Q9H446-2	NM_001007464.2
Q9H446-2	NM_016104.3
Q9Y3V2-2	NM_001128142.1
Q9Y3V2-3	NM_001278247.1
Q9HBX9-2	NM_001253728.1
Q9HBX9-4	NM_001253729.1
Q8WXD0-2	NM_001166058.1
P19793-2	NM_001291921.1
P28702-3	NM_001270401.1
P28704-2	NM_001205216.1
P34925-2	NM_001005861.2
P21817-2	NM_001042723.1
Q92736-2	XM_006711805.3
B0LPN4-2	NM_001191043.1
Q15413-2	NM_001243996.2
Q24498-3	NM_057644.4
Q24498-4	NM_057645.3
Q24498-5	NM_057646.4
Q13621-3	NM_001184832.1
P55017-2	NM_000339.2
P55017-3	NM_001126107.1
Q9UP95-5	NM_001145964.1
Q9UP95-6	NM_001145963.1
Q9UP95-7	NM_001145962.1
Q9H2X9-2	NM_020708.4
Q91V14-2	NM_020333.2
Q63633-2	NM_134363.1
Q9UHW9-2	NM_005135.2
Q9UHW9-3	NM_001042497.1
Q9UHW9-4	NM_001042496.1
Q9UHW9-5	NM_001042494.1
Q9UHW9-5	NM_001042495.1
Q8VI23-3	NM_001083902.1
Q9BXP2-2	NM_001267814.1
Q9BXP2-4	NM_001267812.1
Q13183-3	NM_001145975.1
Q8WWT9-3	NM_001193340.1
Q8WWT9-5	NM_001193339.1
Q8WWT9-6	NM_001011554.2
Q86YT5-2	NM_001143838.2
Q86YT5-3	NM_001284509.1
Q86YT5-4	NM_001284510.1
Q92503-2	NM_001039573.2
Q92503-2	NM_001204408.1
Q92503-3	NM_001144001.1
A8Y5H7-2	NM_001166507.1
A8Y5H7-3	NM_028777.3
O76054-4	NM_033382.2
O76054-5	NM_001204204.2
Q9UDX4-2	NM_001257379.1
Q9UDX4-2	NM_001257382.1
Q9UDX4-3	NM_001257378.1
Q9UDX3-2	NM_001161368.1
P51574-2	NM_001079838.1
Q16348-2	NM_001145998.1
Q9Y2C5-2	NM_001286121.1
Q9Y2C5-2	XM_011514211.1
Q9Y2C5-3	XM_011514219.2
Q8BN82-2	NM_001276452.1
Q9BYT1-2	NM_001302643.1
P41440-2	NM_001205207.1
P41440-3	NM_001205206.1
O60779-2	NM_001319667.1
Q9EQN9-2	NM_001276455.1
Q9D5K4-4	NM_001347203.1
O15245-2	NM_153187.1
O15245-3	XM_006715552.1
O76082-3	NM_001308122.1
Q4U2R8-2	NM_153276.2
Q4U2R8-3	NM_153277.2
Q4U2R8-4	NM_153278.2
Q9Y694-2	NM_006672.3
Q8TCC7-5	NM_001184736.1
Q8TCC7-4	NM_001184733.1
Q9NSA0-2	NM_001307985.1
Q96S37-2	NM_001276327.1
Q96S37-3	NM_153378.2
Q96S37-4	NM_001276326.1
Q86VW1-3	XM_011536205.2
Q8WUG5-2	NM_016609.4
A1A5C7-2	NM_001286455.1
A1A5C7-2	NM_021945.6
A1A5C7-2	XM_017011186.1
A1A5C7-4	NM_001286456.1
Q8N4F4-1	NM_173586.2
Q9UHI7-2	NM_152685.3
Q6PIS1-2	NM_144712.4
Q6PIS1-5	NM_001144890.1
Q9UJS0-2	NM_001160210.1
Q8N8R3-3	NM_001291813.1
Q8N8R3-3	NM_001291814.1
Q8N8R3-3	NM_152333.3
